monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250330,20250406,1035
0,0,0,0,0,0,1,20250330,20250406,1182
0,0,0,0,0,0,1,20250330,20250406,1326
0,0,0,0,0,0,1,20250330,20250406,1364
0,0,0,0,0,0,1,20250330,20250406,1511
0,0,0,0,0,0,1,20250330,20250406,1674
0,0,0,0,0,0,1,20250330,20250406,2575
0,0,0,0,0,0,1,20250330,20250406,4118
0,0,0,0,0,0,1,20250330,20250406,4151
0,0,0,0,0,0,1,20250330,20250406,4360
0,0,0,0,0,0,1,20250330,20250406,661
0,0,0,0,0,0,1,20250330,20250406,836
0,0,0,0,0,0,1,20250330,20250408,1737
0,0,0,0,0,0,1,20250330,20250411,788
0,0,0,0,0,0,1,20250330,20250413,1290
0,0,0,0,0,0,1,20250330,20250413,1494
0,0,0,0,0,0,1,20250330,20250413,2172
0,0,0,0,0,0,1,20250330,20250413,2307
0,0,0,0,0,0,1,20250330,20250413,2426
0,0,0,0,0,0,1,20250330,20250413,257
0,0,0,0,0,0,1,20250330,20250413,4361
0,0,0,0,0,0,1,20250330,20250413,57
0,0,0,0,0,0,1,20250330,20250418,572
0,0,0,0,0,0,1,20250330,20250420,2209
0,0,0,0,0,0,1,20250330,20250421,3697
0,0,0,0,0,0,1,20250330,20250421,3941
0,0,0,0,0,0,1,20250330,20250421,4122
0,0,0,0,0,0,1,20250330,20250421,731
0,0,0,0,0,0,1,20250330,20250427,1065
0,0,0,0,0,0,1,20250330,20250427,1191
0,0,0,0,0,0,1,20250330,20250427,1217
0,0,0,0,0,0,1,20250330,20250427,1272
0,0,0,0,0,0,1,20250330,20250427,136
0,0,0,0,0,0,1,20250330,20250427,1365
0,0,0,0,0,0,1,20250330,20250427,1395
0,0,0,0,0,0,1,20250330,20250427,1454
0,0,0,0,0,0,1,20250330,20250427,1505
0,0,0,0,0,0,1,20250330,20250427,1678
0,0,0,0,0,0,1,20250330,20250427,200
0,0,0,0,0,0,1,20250330,20250427,2053
0,0,0,0,0,0,1,20250330,20250427,2173
0,0,0,0,0,0,1,20250330,20250427,2324
0,0,0,0,0,0,1,20250330,20250427,282
0,0,0,0,0,0,1,20250330,20250427,2882
0,0,0,0,0,0,1,20250330,20250427,2991
0,0,0,0,0,0,1,20250330,20250427,3074
0,0,0,0,0,0,1,20250330,20250427,3173
0,0,0,0,0,0,1,20250330,20250427,3240
0,0,0,0,0,0,1,20250330,20250427,3294
0,0,0,0,0,0,1,20250330,20250427,3332
0,0,0,0,0,0,1,20250330,20250427,3404
0,0,0,0,0,0,1,20250330,20250427,352
0,0,0,0,0,0,1,20250330,20250427,3680
0,0,0,0,0,0,1,20250330,20250427,4155
0,0,0,0,0,0,1,20250330,20250427,4196
0,0,0,0,0,0,1,20250330,20250427,420
0,0,0,0,0,0,1,20250330,20250427,426
0,0,0,0,0,0,1,20250330,20250427,4366
0,0,0,0,0,0,1,20250330,20250427,692
0,0,0,0,0,0,1,20250330,20250427,732
0,0,0,0,0,0,1,20250330,20250427,740
0,0,0,0,0,0,1,20250330,20250427,741
0,0,0,0,0,0,1,20250330,20250427,749
0,0,0,0,0,0,1,20250330,20250427,826
0,0,0,0,0,0,1,20250330,20250427,886
0,0,0,0,0,0,1,20250330,20250427,897
0,0,0,0,0,0,1,20250330,20250429,1472
0,0,0,0,0,0,1,20250330,20250429,3135
0,0,0,0,0,0,1,20250401,20250406,177
0,0,0,0,0,0,1,20250403,20250416,4094
0,0,0,0,0,0,1,20250404,20250414,752
0,0,0,0,0,0,1,20250404,20250427,3705
0,0,0,0,0,0,1,20250405,20250406,869
0,0,0,0,0,0,1,20250405,20250406,921
0,0,0,0,0,0,1,20250405,20250413,2701
0,0,0,0,0,0,1,20250405,20250415,4415
0,0,0,0,0,0,1,20250405,20250418,3127
0,0,0,0,0,0,1,20250405,20250420,3195
0,0,0,0,0,0,1,20250405,20250421,2468
0,0,0,0,0,0,1,20250405,20250427,2057
0,0,0,0,0,0,1,20250405,20250427,2157
0,0,0,0,0,0,1,20250405,20250427,673
0,0,0,0,0,0,1,20250406,20250413,29
0,0,0,0,0,0,1,20250406,20250413,813
0,0,0,0,0,0,1,20250406,20250417,618
0,0,0,0,0,0,1,20250406,20250418,1100
0,0,0,0,0,0,1,20250406,20250420,196
0,0,0,0,0,0,1,20250406,20250420,3953
0,0,0,0,0,0,1,20250406,20250420,4050
0,0,0,0,0,0,1,20250406,20250421,2416
0,0,0,0,0,0,1,20250406,20250421,4067
0,0,0,0,0,0,1,20250406,20250427,1738
0,0,0,0,0,0,1,20250406,20250427,2301
0,0,0,0,0,0,1,20250406,20250427,2794
0,0,0,0,0,0,1,20250406,20250427,2830
0,0,0,0,0,0,1,20250406,20250427,2961
0,0,0,0,0,0,1,20250406,20250427,3093
0,0,0,0,0,0,1,20250406,20250427,3489
0,0,0,0,0,0,1,20250406,20250427,4074
0,0,0,0,0,0,1,20250406,20250427,640
0,0,0,0,0,0,1,20250406,20250427,848
0,0,0,0,0,0,1,20250406,20250428,4128
0,0,0,0,0,0,1,20250412,20250421,3265
0,0,0,0,0,0,1,20250412,20250427,1575
0,0,0,0,0,0,1,20250413,20250420,261
0,0,0,0,0,0,1,20250413,20250421,2845
0,0,0,0,0,0,1,20250413,20250427,1459
0,0,0,0,0,0,1,20250413,20250427,2197
0,0,0,0,0,0,1,20250413,20250427,2406
0,0,0,0,0,0,1,20250413,20250427,3851
0,0,0,0,0,0,1,20250413,20250427,4001
0,0,0,0,0,0,1,20250413,20250427,4099
0,0,0,0,0,0,1,20250413,20250427,998
0,0,0,0,0,0,1,20250418,20250427,409
0,0,0,0,0,0,1,20250420,20250427,1822
0,0,0,0,0,0,1,20250420,20250427,2937
0,0,0,0,0,0,1,20250420,20250427,627
0,0,0,0,0,1,0,20250330,20250426,892
0,0,0,0,0,1,0,20250330,20250427,2682
0,0,0,0,0,1,0,20250331,20250426,309
0,0,0,0,0,1,0,20250403,20250426,3547
0,0,0,0,0,1,0,20250404,20250412,517
0,0,0,0,0,1,0,20250404,20250426,1884
0,0,0,0,0,1,0,20250404,20250426,3005
0,0,0,0,0,1,0,20250404,20250426,3516
0,0,0,0,0,1,0,20250404,20250426,3717
0,0,0,0,0,1,0,20250405,20250412,112
0,0,0,0,0,1,0,20250405,20250412,593
0,0,0,0,0,1,0,20250405,20250413,1609
0,0,0,0,0,1,0,20250405,20250414,4095
0,0,0,0,0,1,0,20250405,20250416,364
0,0,0,0,0,1,0,20250405,20250419,3959
0,0,0,0,0,1,0,20250405,20250419,427
0,0,0,0,0,1,0,20250405,20250420,1473
0,0,0,0,0,1,0,20250405,20250420,1669
0,0,0,0,0,1,0,20250405,20250420,2385
0,0,0,0,0,1,0,20250405,20250421,1305
0,0,0,0,0,1,0,20250405,20250421,334
0,0,0,0,0,1,0,20250405,20250421,3718
0,0,0,0,0,1,0,20250405,20250421,4298
0,0,0,0,0,1,0,20250405,20250421,480
0,0,0,0,0,1,0,20250405,20250426,1010
0,0,0,0,0,1,0,20250405,20250426,1436
0,0,0,0,0,1,0,20250405,20250426,15
0,0,0,0,0,1,0,20250405,20250426,1808
0,0,0,0,0,1,0,20250405,20250426,1850
0,0,0,0,0,1,0,20250405,20250426,1910
0,0,0,0,0,1,0,20250405,20250426,2180
0,0,0,0,0,1,0,20250405,20250426,2417
0,0,0,0,0,1,0,20250405,20250426,2602
0,0,0,0,0,1,0,20250405,20250426,2986
0,0,0,0,0,1,0,20250405,20250426,3037
0,0,0,0,0,1,0,20250405,20250426,3229
0,0,0,0,0,1,0,20250405,20250426,326
0,0,0,0,0,1,0,20250405,20250426,3307
0,0,0,0,0,1,0,20250405,20250426,3409
0,0,0,0,0,1,0,20250405,20250426,3423
0,0,0,0,0,1,0,20250405,20250426,3561
0,0,0,0,0,1,0,20250405,20250426,3759
0,0,0,0,0,1,0,20250405,20250426,428
0,0,0,0,0,1,0,20250405,20250426,4292
0,0,0,0,0,1,0,20250405,20250426,506
0,0,0,0,0,1,0,20250405,20250426,698
0,0,0,0,0,1,0,20250405,20250426,777
0,0,0,0,0,1,0,20250405,20250427,3075
0,0,0,0,0,1,0,20250405,20250427,619
0,0,0,0,0,1,0,20250405,20250428,3656
0,0,0,0,0,1,0,20250405,20250428,446
0,0,0,0,0,1,0,20250412,20250419,3051
0,0,0,0,0,1,0,20250412,20250420,3377
0,0,0,0,0,1,0,20250412,20250420,3802
0,0,0,0,0,1,0,20250412,20250426,1542
0,0,0,0,0,1,0,20250412,20250426,1590
0,0,0,0,0,1,0,20250412,20250426,2266
0,0,0,0,0,1,0,20250412,20250426,2623
